university_id,state,student count,awards_per_value,awards_per_state_value,fte_value
103361,Alaska,471,5.1,9.1,263
103644,Arizona,2761,27,32.8,2008
103893,Arizona,676,73.6,32.8,573
103909,Arizona,691,60.4,36.8,767
103927,Arizona,440,76.4,36.8,379
103945,Arizona,209,24.8,21.7,401
104090,Arizona,828,18.4,32.8,736
104151,Arizona,38730,23.7,22,38789
104160,Arizona,8000,20.7,20.4,5538
104179,Arizona,31670,21.3,22,30837
104188,Arizona,216,12.7,32.8,277
104346,Arizona,6445,20.2,20.4,4893
104364,Arizona,684,27,32.8,685
104425,Arizona,4453,22.5,20.4,7909
104577,Arizona,6602,17.3,20.4,3810
104586,Arizona,1879,20.6,21.7,1674
104708,Arizona,20872,21,20.4,12558
104717,Arizona,35205,17.7,32.8,27695
104805,Arizona,2238,15.2,32.8,3081
105118,Arizona,93,24.1,36.8,523
105145,Arizona,6440,23.8,20.4,3415
