universityid,level,institution_type,specific_college_type
439118,2-year,Private for-profit,Not applicable- not in Carnegie universe
439127,2-year,Private for-profit,Associates--Private For-profit
439136,4-year,Private for-profit,Associates--Private For-profit
439145,2-year,Public,Associates--Public Suburban-serving Multicampus
439190,2-year,Public,Associates--Public Suburban-serving Single Campus
439279,4-year,Private for-profit,Schools of business and management
439288,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
439297,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
439367,2-year,Private not-for-profit,Associates--Private Not-for-profit
439437,2-year,Private for-profit,Associates--Private For-profit
439455,2-year,Private for-profit,Associates--Private For-profit
439482,2-year,Private for-profit,Associates--Private For-profit
439525,2-year,Private for-profit,Associates--Private For-profit
439570,2-year,Private for-profit,Associates--Private For-profit
439613,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
439701,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
439738,2-year,Private for-profit,Associates--Private For-profit
439792,2-year,Private for-profit,Associates--Private For-profit
439826,2-year,Private for-profit,Associates--Private For-profit
440110,2-year,Private for-profit,Associates--Private For-profit
440129,2-year,Private for-profit,Not applicable- not in Carnegie universe
440147,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
440271,2-year,Private not-for-profit,Associates--Private For-profit
440299,4-year,Private for-profit,Baccalaureate/Associates Colleges
440323,2-year,Private for-profit,Associates--Private For-profit
440332,2-year,Private for-profit,Associates--Private For-profit
440341,4-year,Private for-profit,Schools of art- music- and design
440402,2-year,Public,Associates--Public 2-year colleges under 4-year universities
440420,4-year,Private for-profit,Schools of business and management
440439,4-year,Private for-profit,Schools of business and management
440448,4-year,Private for-profit,Schools of business and management
440457,4-year,Private for-profit,Schools of business and management
440466,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
440484,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
440642,2-year,Private for-profit,Associates--Private For-profit
440749,4-year,Private for-profit,Schools of business and management
440758,4-year,Private for-profit,Schools of business and management
440767,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
440794,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
440873,2-year,Private for-profit,Associates--Private For-profit
440882,2-year,Private for-profit,Associates--Private For-profit
440891,2-year,Private for-profit,Associates--Private For-profit
440925,4-year,Private for-profit,Schools of art- music- and design
441025,2-year,Private for-profit,Associates--Private For-profit
441052,2-year,Private for-profit,Associates--Private For-profit
441070,2-year,Public,Tribal Colleges
441089,2-year,Private for-profit,Associates--Private For-profit
441201,2-year,Private for-profit,Associates--Private For-profit
441487,2-year,Private not-for-profit,Associates--Private Not-for-profit
441502,2-year,Private for-profit,Associates--Private For-profit
441511,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
441636,2-year,Private for-profit,Not applicable- not in Carnegie universe
441760,2-year,Public,Associates--Public Suburban-serving Single Campus
441858,2-year,Private for-profit,Associates--Private For-profit
441900,4-year,Public,Baccalaureate Colleges--Diverse Fields
441919,2-year,Private for-profit,Associates--Private For-profit
441928,2-year,Private for-profit,Associates--Private For-profit
441937,4-year,Public,Masters Colleges and Universities--smaller programs
441955,4-year,Private for-profit,Other technology-related schools
441964,4-year,Private for-profit,Other technology-related schools
441973,4-year,Private for-profit,Schools of art- music- and design
441982,4-year,Private not-for-profit,Schools of engineering
442037,2-year,Private for-profit,Associates--Private For-profit
442046,2-year,Private for-profit,Associates--Private For-profit
442143,4-year,Private for-profit,Masters Colleges and Universities--medium programs
442152,4-year,Private for-profit,Masters Colleges and Universities--larger programs
442161,4-year,Private for-profit,Schools of business and management
442170,4-year,Private for-profit,Schools of business and management
442189,4-year,Private for-profit,Schools of business and management
442231,2-year,Private for-profit,Associates--Private For-profit
442338,4-year,Private for-profit,Associates--Private For-profit
442347,2-year,Private for-profit,Associates--Private For-profit
442356,4-year,Private not-for-profit,Associates--Private Not-for-profit
442383,2-year,Private for-profit,Associates--Private For-profit
442408,2-year,Private for-profit,Associates--Private For-profit
442426,2-year,Private for-profit,Associates--Private For-profit
442444,2-year,Private for-profit,Associates--Private For-profit
442569,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
442578,4-year,Private for-profit,Baccalaureate/Associates Colleges
442602,2-year,Private for-profit,Not applicable- not in Carnegie universe
442718,4-year,Private for-profit,Baccalaureate/Associates Colleges
442745,2-year,Private for-profit,Associates--Private For-profit
442781,2-year,Public,Tribal Colleges
442790,2-year,Private for-profit,Associates--Private For-profit
442879,2-year,Private for-profit,Associates--Private For-profit
442930,4-year,Private for-profit,Associates--Private For-profit
443049,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
443270,2-year,Private for-profit,Associates--Private For-profit
443331,4-year,Private for-profit,Other health professions schools
443340,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
443377,2-year,Private for-profit,Associates--Private For-profit
443410,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
443438,2-year,Private for-profit,Associates--Private For-profit
443474,4-year,Private for-profit,Schools of business and management
443492,2-year,Public,Associates--Public Rural-serving Medium
443526,4-year,Private for-profit,Other technology-related schools
443535,4-year,Private for-profit,Associates--Private For-profit
443544,4-year,Private for-profit,Schools of business and management
443623,2-year,Private for-profit,Associates--Private For-profit
443650,2-year,Private for-profit,Associates--Private For-profit
443687,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
443739,2-year,Private for-profit,Associates--Private For-profit
443766,4-year,Private for-profit,Not applicable- not in Carnegie universe
443784,4-year,Private for-profit,Not applicable- not in Carnegie universe
443827,2-year,Private for-profit,Associates--Private For-profit
443836,2-year,Private for-profit,Associates--Private For-profit
443854,2-year,Private for-profit,Associates--Private For-profit
443881,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
443890,4-year,Private for-profit,Masters Colleges and Universities--medium programs
443924,4-year,Private for-profit,Schools of business and management
444088,4-year,Private for-profit,Associates--Private For-profit
444158,4-year,Private for-profit,Masters Colleges and Universities--larger programs
444167,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
444219,2-year,Public,Associates--Public Urban-serving Multicampus
444255,4-year,Private for-profit,Associates--Private For-profit
444343,2-year,Private for-profit,Associates--Private For-profit
444389,2-year,Private for-profit,Associates--Private For-profit
444398,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
444413,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
444565,2-year,Private for-profit,Associates--Private For-profit
444574,4-year,Private for-profit,Associates--Private For-profit
444778,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
444927,4-year,Private for-profit,Schools of art- music- and design
444954,2-year,Public,Associates--Public Rural-serving Medium
444972,2-year,Private for-profit,Associates--Private For-profit
445018,2-year,Public,Associates--Public Rural-serving Small
445027,4-year,Private for-profit,Masters Colleges and Universities--larger programs
445072,4-year,Private for-profit,Baccalaureate/Associates Colleges
445081,4-year,Private for-profit,Other technology-related schools
445090,2-year,Private for-profit,Associates--Private For-profit
445115,2-year,Private for-profit,Associates--Private For-profit
445124,4-year,Private for-profit,Schools of art- music- and design
445133,4-year,Private for-profit,Schools of business and management
445188,4-year,Public,Not applicable- not in Carnegie universe
445197,2-year,Private for-profit,Associates--Private For-profit
445203,2-year,Private not-for-profit,Associates--Private For-profit
445230,2-year,Private for-profit,Associates--Private For-profit
445249,2-year,Private not-for-profit,Associates--Private For-profit
445258,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
445276,4-year,Private for-profit,Baccalaureate/Associates Colleges
445300,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
445319,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
445328,2-year,Private for-profit,Associates--Private For-profit
445346,2-year,Private for-profit,Associates--Private For-profit
